

Aaron亚伦	Aaron	ron亚伦
Abby艾比(Abigail的简写)	Abby艾比(Abigai	比(Abigail的简写)
Abel亚伯(Abelard的昵称)	Abel亚伯(Abelar	伯(Abelard的昵称)
Abigail艾比蓋希伯來父親很高興；自得的父親。	Abigail	；自得的父親。
Abigail阿比盖尔	Abigail	ail阿比盖尔
Abraham亚伯拉罕	Abraham	ham亚伯拉罕
Ada艾達英國增光；快樂的；美麗。	Ada	美麗。
Adam亚当	Adam	am亚当
Ada艾达(Adelaide的简写)	Ada艾达(Adelaid	(Adelaide的简写)
Adela愛得拉德國尊貴的；優雅的。	Adela	；優雅的。
Adelaide愛得萊德德國高貴的；高貴階級的。	Adelaide	的；高貴階級的。
Adelaide阿德莱德	Adelaide	aide阿德莱德
Adeline艾德琳	Adeline	line艾德琳
Adrian艾德里安	Adrian	an艾德里安
Afra阿芙拉希伯來塵土	Afra	伯來塵土
Agatha愛葛莎希臘善良而美好的	Agatha	善良而美好的
Agnes愛葛妮絲希臘，拉丁純潔，高雅，貞節	Agnes	高雅，貞節
Aidan艾登/艾丹	Aidan艾	n艾登/艾丹
Ailsa艾丽莎	Ailsa	sa艾丽莎
Aimee艾米	Aimee	mee艾米
Alan艾伦(常变形为Eilian,Allan,Ailin)	Alan艾伦(常变形为Eilian,Allan,	(常变形为Eilian,Allan,Ailin)
Alberta愛爾柏塔英國高貴顯赫的。	Alberta	國高貴顯赫的。
Albert艾伯特	Albert	ert艾伯特
Alexander亚历山大	Alexander	ander亚历山大
Alexandra亚历桑德拉	Alexandra	ndra亚历桑德拉
Alexia亞莉克希亞希臘幫助	Alexia	希亞希臘幫助
Alexis亚历克西斯	Alexis	s亚历克西斯
Alex亚历克斯(Alexander的昵称)	Alex亚历克斯(Alexan	斯(Alexander的昵称)
Alfred阿尔弗雷德	Alfred	d阿尔弗雷德
Alice愛麗絲希臘尊貴的，真#092;的	Alice愛麗絲希臘	貴的，真#092;的
Alice爱丽丝	Alice	ce爱丽丝
Alicia艾丽西娅	Alicia	ia艾丽西娅
Alina艾琳娜	Alina	na艾琳娜
Allison艾莉森	Allison	ison艾莉森
Alma愛瑪拉丁，英國真情的、和善的、舞女。	Alma	、舞女。
Althea奧爾瑟雅希臘好預，醫治者。	Althea	預，醫治者。
Alva阿爾娃拉丁白皙的。	Alva	白皙的。
Alva阿尔瓦	Alva	a阿尔瓦
Alyssa艾莉莎/爱丽丝娅	Alyssa艾	莉莎/爱丽丝娅
Amanda阿曼達拉丁值得愛的。	Amanda	丁值得愛的。
Amanda阿曼达	Amanda	nda阿曼达
Amber安伯	Amber	ber安伯
Amelia阿蜜莉雅拉丁勤勉的，勞動的。	Amelia	的，勞動的。
Amy艾咪法國最心愛的人，可愛的。	Amy	愛的。
Amy艾美	Amy	y艾美
Anastasia阿娜絲塔西夏希臘再度振作起來之人，復活。	Anastasia	作起來之人，復活。
Anastasia阿纳斯塔西娅(昵称Stacey)	Anastasia阿纳斯塔西娅(昵	a阿纳斯塔西娅(昵称Stacey)
Andrea安德莉亞希臘有氣概，美麗而優雅	Andrea	，美麗而優雅
Andrea安德莉亚	Andrea	ea安德莉亚
Andrew安德鲁	Andrew	rew安德鲁
Andy安迪(Andrew的昵称)	Andy安迪(Andre	迪(Andrew的昵称)
Angela安琪拉法國天使；報信者，安琪兒。	Angela	者，安琪兒。
Angela安吉拉	Angela	ela安吉拉
Angelia安吉莉亚	Angelia	lia安吉莉亚
Angelina安吉莉娜	Angelina	lina安吉莉娜
Angel安琪	Angel	gel安琪
Angus安格斯	Angus	us安格斯
Anita安尼塔(Ann的西班牙写法)	Anita安尼塔(A	Ann的西班牙写法)
Ann安妮希伯來優雅的，仁慈的上帝。	Ann	上帝。
Anna安娜希伯來優雅	Anna	伯來優雅
Annabelle安娜貝兒希伯來，拉丁美麗的女子；可愛的；和藹可親的。	Annabelle	愛的；和藹可親的。
Anna安娜	Anna	na安娜
Anne安妮(同Ann)	Anne安妮(同A	e安妮(同Ann)
Annie安妮(Ann的昵称)	Annie安妮(An	安妮(Ann的昵称)
Ann安(Hannah的英文形式)	Ann安(Hannah	annah的英文形式)
Anthony安东尼	Anthony	hony安东尼
Antonia安東妮兒拉丁，希臘無辭以讚，受尊崇的人。	Antonia	，受尊崇的人。
Apollo阿波罗	Apollo	llo阿波罗
April艾譜莉拉丁春天，大地初醒之時	April	地初醒之時
April阿普里尔	April	l阿普里尔
Arabela愛勒貝拉拉丁，日耳曼美麗的祭壇，易於請求	Arabela	祭壇，易於請求
Ariel艾莉尔	Ariel	el艾莉尔
Arlene艾琳娜賽爾特誓約、信物。	Arlene	誓約、信物。
Arnold阿诺德	Arnold	old阿诺德
Arthur亚瑟	Arthur	thur亚瑟
Ashley艾许莉/阿什利/艾希礼	Ashley艾许	/阿什利/艾希礼
Astrid艾絲翠得丹麥神聖的力量；星星的。	Astrid	量；星星的。
Atalanta亞特蘭特希臘跑得快的美麗少女。	Atalanta	得快的美麗少女。
Athena雅典娜希臘希臘神話中，聪明、及戰爭的女神，雅典的保護神。	Athena	典的保護神。
Audrey奧德莉法國高貴顯赫的人。	Audrey	貴顯赫的人。
